datetime,Rains,stationId
2010-10-05T14:46:00+02:00,0.1,313
2010-10-05T15:02:00+02:00,0.4,313
2010-10-05T15:03:00+02:00,1.6,313
2010-10-08T11:17:00+02:00,0.1,313
2010-10-08T12:52:00+02:00,0.1,313
2010-10-11T02:49:00+02:00,0.1,313
2010-10-11T02:50:00+02:00,0.1,313
2010-10-11T02:51:00+02:00,0.1,313
2010-10-11T02:52:00+02:00,0.1,313
2010-10-11T02:59:00+02:00,0.1,313
2010-10-29T09:21:00+02:00,0.1,313
2010-10-30T00:26:00+02:00,0.1,313
2010-10-30T00:27:00+02:00,0.1,313
2010-10-30T05:23:00+02:00,0.2,313
2010-10-30T05:24:00+02:00,0.3,313
2010-10-30T05:25:00+02:00,0.1,313
2010-12-06T04:20:00+02:00,0.1,313
2010-12-06T04:39:00+02:00,0.1,313
2010-12-07T05:41:00+02:00,0.1,313
2010-12-07T05:45:00+02:00,0.1,313
2010-12-07T05:50:00+02:00,0.1,313
2010-12-07T06:15:00+02:00,0.1,313
2010-12-07T06:20:00+02:00,0.1,313
2010-12-07T06:23:00+02:00,0.1,313
2010-12-07T06:24:00+02:00,0.1,313
2010-12-07T06:25:00+02:00,0.1,313
2010-12-07T06:27:00+02:00,0.1,313
2010-12-07T06:29:00+02:00,0.1,313
2010-12-07T06:30:00+02:00,0.1,313
2010-12-07T06:33:00+02:00,0.1,313
2010-12-07T06:48:00+02:00,0.1,313
2010-12-07T07:03:00+02:00,0.1,313
2010-12-07T07:05:00+02:00,0.1,313
2010-12-07T07:10:00+02:00,0.1,313
2010-12-07T07:12:00+02:00,0.1,313
2010-12-07T07:15:00+02:00,0.1,313
2010-12-07T07:16:00+02:00,0.1,313
2010-12-07T07:18:00+02:00,0.1,313
2010-12-07T07:21:00+02:00,0.1,313
2010-12-07T07:23:00+02:00,0.1,313
2010-12-07T07:29:00+02:00,0.1,313
2010-12-07T07:33:00+02:00,0.1,313
2010-12-07T07:35:00+02:00,0.1,313
2010-12-07T07:40:00+02:00,0.1,313
2010-12-07T07:44:00+02:00,0.1,313
2010-12-07T07:48:00+02:00,0.1,313
2010-12-07T08:21:00+02:00,0.1,313
2010-12-07T12:01:00+02:00,0.2,313
2010-12-07T12:02:00+02:00,0.2,313
2010-12-07T12:03:00+02:00,0.4,313
2010-12-07T12:04:00+02:00,0.3,313
2010-12-07T12:05:00+02:00,0.2,313
2010-12-07T12:06:00+02:00,0.4,313
2010-12-07T12:07:00+02:00,0.1,313
2010-12-07T12:08:00+02:00,0.1,313
2010-12-07T12:09:00+02:00,0.1,313
2010-12-07T12:10:00+02:00,0.1,313
2010-12-07T12:12:00+02:00,0.3,313
2010-12-07T12:13:00+02:00,0.1,313
2010-12-07T12:14:00+02:00,0.1,313
2010-12-07T12:18:00+02:00,0.1,313
2010-12-07T12:29:00+02:00,0.1,313
2010-12-07T12:44:00+02:00,0.1,313
2010-12-10T14:31:00+02:00,0.1,313
2010-12-10T14:32:00+02:00,0.2,313
2010-12-10T14:45:00+02:00,0.1,313
2010-12-10T14:46:00+02:00,0.1,313
2010-12-10T14:47:00+02:00,0.3,313
2010-12-10T14:48:00+02:00,0.3,313
2010-12-10T14:49:00+02:00,0.2,313
2010-12-10T14:50:00+02:00,0.2,313
2010-12-11T05:57:00+02:00,0.1,313
2010-12-11T07:40:00+02:00,0.1,313
2010-12-11T07:45:00+02:00,0.1,313
2010-12-11T09:57:00+02:00,0.1,313
2010-12-11T09:58:00+02:00,0.1,313
2010-12-11T09:59:00+02:00,0.1,313
2010-12-11T10:00:00+02:00,0.3,313
2010-12-11T10:01:00+02:00,0.7,313
2010-12-11T10:02:00+02:00,0.8,313
2010-12-11T10:03:00+02:00,0.5,313
2010-12-11T10:04:00+02:00,0.3,313
2010-12-11T10:05:00+02:00,0.2,313
2010-12-11T10:07:00+02:00,0.3,313
2010-12-11T10:08:00+02:00,0.2,313
